feature,block
ACC_kurt,Accelerometry
ACC_skew,Accelerometry
ACC_std,Accelerometry
ACCjerk_RMS,Accelerometry
ACCmag_P90,Accelerometry
ACCmag_RMS,Accelerometry
ACCx_med,Accelerometry
ACCy_med,Accelerometry
ACCz_med,Accelerometry
corr_ACC4_EMG4_4hz,Cross-channel correlations
corr_ACC4_TEMP4_4hz,Cross-channel correlations
corr_RSP4_ACC4_4hz,Cross-channel correlations
corr_RSP4_EMG4_4hz,Cross-channel correlations
corr_RSP4_SCL4_4hz,Cross-channel correlations
corr_RSP4_TEMP4_4hz,Cross-channel correlations
corr_SCL4_ACC4_4hz,Cross-channel correlations
corr_SCL4_EMG4_4hz,Cross-channel correlations
corr_SCL4_TEMP4_4hz,Cross-channel correlations
corr_TEMP4_EMG4_4hz,Cross-channel correlations
HRV_ApEn,ECG / HRV
HRV_C1a,ECG / HRV
HRV_CD,ECG / HRV
HRV_CSI_Modified,ECG / HRV
HRV_CVI,ECG / HRV
HRV_Ca,ECG / HRV
HRV_DFA_alpha1,ECG / HRV
HRV_FuzzyEn,ECG / HRV
HRV_HF,ECG / HRV
HRV_HFD,ECG / HRV
HRV_HFn,ECG / HRV
HRV_HTI,ECG / HRV
HRV_KFD,ECG / HRV
HRV_LF,ECG / HRV
HRV_LFHF,ECG / HRV
HRV_LZC,ECG / HRV
HRV_LnHF,ECG / HRV
HRV_MCVNN,ECG / HRV
HRV_MinNN,ECG / HRV
HRV_PAS,ECG / HRV
HRV_PI,ECG / HRV
HRV_PSS,ECG / HRV
HRV_S,ECG / HRV
HRV_SD1SD2,ECG / HRV
HRV_SD2d,ECG / HRV
HRV_SDRMSSD,ECG / HRV
HRV_SI,ECG / HRV
HRV_SampEn,ECG / HRV
HRV_ShanEn,ECG / HRV
HRV_TINN,ECG / HRV
HRV_pNN20,ECG / HRV
HRV_pNN50,ECG / HRV
EDA_kurt,EDA
EDA_mean,EDA
EDA_skew,EDA
SCL_CV,EDA
SCL_slope_cpm,EDA
SCL_std,EDA
SCR_amp_mean,EDA
SCR_area,EDA
SCR_count_pm,EDA
EMG_MDF,EMG
EMG_Power,EMG
EMG_SpecEnt,EMG
EMG_ZCR,EMG
BRV_CV,Respiration & BRV
BRV_RMSSD,Respiration & BRV
Duty_cycle,Respiration & BRV
ExpDur_mean,Respiration & BRV
InspDur_mean,Respiration & BRV
RSP_amp_mean,Respiration & BRV
RSP_amp_std,Respiration & BRV
RSP_rate_mean,Respiration & BRV
RSP_rate_std,Respiration & BRV
TEMP_detrended_std,Skin temperature
TEMP_mean,Skin temperature
TEMP_skew,Skin temperature
TEMP_slope_cpm,Skin temperature
