"s","t","y","muhat","sigmahat","risk_c_95p06391","event_c_95p06391","risk_c_110p74993","event_c_110p74993"
2,2,75.9067634286158,71.6139890241141,10.8304340710717,0.0151866644815312,0,0.000151036847724995,0
2,3,74.4480171089284,70.9954820760458,4.36156061871783,1.71141230076444e-08,0,0,0
2,4,75.2187777261971,72.368028383852,4.02386444379201,8.48674508446834e-09,0,0,0
2,5,72.2130134354781,65.9295177429173,3.88869697361575,3.38618022510673e-14,0,0,0
2,6,80.5733713857258,74.6956548804427,5.38836515488046,7.84004825068463e-05,0,1.10723652468891e-11,0
2,7,70.9952244205813,71.1053136419288,4.83668882392767,3.6442939976844e-07,0,1.11022302462516e-16,0
2,8,73.9577128823619,69.635502732435,2.83540318550752,0,0,0,0
2,9,73.2501227584858,73.7661737469085,3.88354498051258,2.07793835471648e-08,0,0,0
2,10,72.8480381310779,71.117870071048,2.73112847081015,0,0,0,0
2,11,70.979705248274,70.000872298198,2.81884913750706,0,0,0,0
2,12,72.2539126179874,70.7109103968723,2.6554114682969,0,0,0,0
2,13,71.0323956964374,68.4135503026549,2.4471898847358,0,0,0,0
2,14,72.9557836476189,71.2625534712382,3.05474828038947,3.33066907387547e-15,0,0,0
2,15,71.4219398461601,70.4872154365773,2.62050502236974,0,0,0,0
2,16,72.6051402279022,70.7913179384284,2.53568879470732,0,0,0,0
2,17,69.3183310034918,69.958169051803,2.64149348877194,0,0,0,0
2,18,71.2617757091926,70.1719465157277,2.50896847581565,0,0,0,0
2,19,69.9556886302701,68.3934296849075,2.36387230128711,0,0,0,0
2,20,69.5558128692561,68.4135219523922,2.53450815565058,0,0,0,0
2,21,71.222367730827,73.6342117846626,3.08900695658919,1.99684713209081e-12,0,0,0
2,22,71.5673009596318,71.5034753897865,2.86411233224915,1.11022302462516e-16,0,0,0
2,23,74.98454113843,74.1614415472107,2.51597611188029,0,0,0,0
2,24,77.7681115427639,76.9952514691924,3.109489643723,3.10853742746531e-09,0,0,0
2,25,81.0784499575313,93.4048042705179,4.32581831576999,0.350661345254292,0,3.04012835634637e-05,0
2,26,69.3152754835554,73.3470927843475,8.53919565274087,0.00549223764417939,0,5.93027723716499e-06,0
2,27,69.8453367663457,70.2484224866472,4.15539365893966,1.17271881094894e-09,0,0,0
2,28,70.8000712774229,69.9103416120799,2.49070188942828,0,0,0,0
2,29,70.848556994658,69.4735521810336,2.36355428880001,0,0,0,0
2,30,70.6346756390025,71.5363774319691,3.07395926796626,9.76996261670138e-15,0,0,0
2,31,75.9576349662605,78.7380483108195,3.87838350401753,1.27996574141864e-05,0,1.11022302462516e-16,0
2,32,66.961714509258,68.9098122351365,3.3739395427651,4.55191440096314e-15,0,0,0
2,33,77.9210736119582,75.9575207701697,3.66586708084992,9.34229522631114e-08,0,0,0
2,34,76.6548561814447,76.9194498863692,3.51444679991524,1.21627883875597e-07,0,0,0
2,35,76.4841603845058,78.6121685900344,3.13455388608699,7.66666916618419e-08,0,0,0
2,36,76.8631675551235,76.9851984540309,3.31223882500896,2.40554540731353e-08,0,0,0
2,37,80.9360445753824,78.7134643353506,3.49812354431403,1.47650293802482e-06,0,0,0
2,38,86.2221464159652,87.1104251541738,4.04179085158292,0.0245448388054427,0,2.47611964265815e-09,0
2,39,81.3550959840063,84.7761385200023,3.0752547154008,0.000410909569810713,0,0,0
2,40,80.6453328575264,83.3913075203839,4.14548348534616,0.00243325468729694,0,2.06105132960488e-11,0
2,41,77.7308021635812,79.5553053985844,3.83054770943611,2.57553154652257e-05,0,2.22044604925031e-16,0
2,42,82.4823005377846,85.5394462085761,4.06692221448469,0.00959205408530495,0,2.84279599860326e-10,0
2,43,73.00400678976,77.0249394375321,4.07535636560461,4.79195906788465e-06,0,1.11022302462516e-16,0
2,44,76.0326903864543,74.3343951188611,4.3331635453667,8.59539059261394e-07,0,0,0
2,45,73.4735925344261,78.3275612540842,3.65392865387094,2.32076089179412e-06,0,0,0
2,46,73.8202141765239,75.0894409808665,4.67157519634257,9.5249196629954e-06,0,1.14352971536391e-14,0
2,47,75.7245581751337,74.5400520065387,3.48349508533679,1.9107168069965e-09,0,0,0
