"T","scenario_id","model","metric","mean","sd","se"
120,1,"E","Bias",-0.00305603832752086,0.00584591798492802,0.000584591798492802
120,1,"E","RMSE",0.0822196343842946,0.0178651404516094,0.00178651404516094
120,1,"F","Bias",-0.000620201591320487,0.0141390566369787,0.00141390566369787
120,1,"F","RMSE",0.16096978289776,0.0156578127660594,0.00156578127660594
120,2,"E","Bias",-0.00245745585519559,0.00507648476542465,0.000507648476542465
120,2,"E","RMSE",0.0677554378190363,0.0170751861077266,0.00170751861077266
120,2,"F","Bias",-0.0104461280123376,0.0213269405000678,0.00213269405000678
120,2,"F","RMSE",0.106606354329984,0.0262305863572702,0.00262305863572702
120,3,"E","Bias",-0.00205004264767682,0.0147585665156352,0.00147585665156352
120,3,"E","RMSE",0.089675553468465,0.0284903391501192,0.00284903391501192
120,3,"F","Bias",-0.00214062129775952,0.010830934799658,0.0010830934799658
120,3,"F","RMSE",0.132732066099921,0.0143896368738692,0.00143896368738692
120,4,"E","Bias",-0.00432209059894931,0.00354626327222794,0.000354626327222794
120,4,"E","RMSE",0.0894155244365982,0.00715065273712411,0.000715065273712411
120,4,"F","Bias",-0.0145326400986959,0.0180123323063259,0.00180123323063259
120,4,"F","RMSE",0.127378135403763,0.0210624375800206,0.00210624375800206
240,1,"E","Bias",-0.00249480195751902,0.00452656993454434,0.000452656993454434
240,1,"E","RMSE",0.0703112915128844,0.018278788621042,0.0018278788621042
240,1,"F","Bias",-0.00254279196822339,0.0180472710265434,0.00180472710265434
240,1,"F","RMSE",0.163086616875184,0.0255966741719533,0.00255966741719533
240,2,"E","Bias",-0.00160155962873355,0.00282801670429822,0.000282801670429823
240,2,"E","RMSE",0.0537508593028909,0.00741501761510276,0.000741501761510276
240,2,"F","Bias",-0.0055647031089381,0.0123939898468999,0.00123939898468999
240,2,"F","RMSE",0.0971814186438414,0.0208620324345768,0.00208620324345768
240,3,"E","Bias",-0.00424181191008404,0.00429392700567872,0.000429392700567872
240,3,"E","RMSE",0.0759456992895138,0.0135899857716253,0.00135899857716253
240,3,"F","Bias",-0.00201103678996278,0.0198959105871103,0.00198959105871103
240,3,"F","RMSE",0.130560920876509,0.020787646160961,0.0020787646160961
240,4,"E","Bias",-0.00457154544374776,0.00241627308421362,0.000241627308421362
240,4,"E","RMSE",0.0754035146559543,0.00525372149469196,0.000525372149469196
240,4,"F","Bias",-0.0149888888735142,0.00621202410118657,0.000621202410118657
240,4,"F","RMSE",0.127770654786244,0.00974022949081358,0.000974022949081358
