metric,Th,scenario,A_mean,A_se,B_mean,B_se,C_mean,C_se,D_mean,D_se,E_mean,E_se,F_mean,F_se
RMSE,120,1,0.0848947443813584,0.0011575935937479,0.0837153799234298,0.0013599100505916,0.0799368388002344,0.0013944664962972,0.0817487499217817,0.0030705656132296,0.0822196343842946,0.0017865140451609,0.16096978289776,0.0015657812766059
RMSE,120,2,0.0715391631994885,0.0006367388731978,0.0731103914882944,0.0016688228201637,0.0642097505193772,0.0010706359445446,0.0630867999824693,0.001615901708128,0.0677554378190363,0.0017075186107726,0.106606354329984,0.002623058635727
RMSE,120,3,0.0956201073243488,0.0026615838015666,0.0927241873647446,0.0027470276566023,0.0873847811102612,0.0028435936174768,0.0843070474829331,0.0016364050911392,0.089675553468465,0.0028490339150119,0.132732066099921,0.0014389636873869
RMSE,120,4,0.0931297346734967,0.0004948437856694,0.0909538432509633,0.0004740770001057,0.0935486734241242,0.0013570646033431,0.0931738102292493,0.0022815020541839,0.0894155244365982,0.0007150652737124,0.127378135403763,0.002106243758002
RMSE,240,1,0.0787555208004466,0.0015049813094391,0.0770586850298657,0.0015224976168882,0.0756809967491079,0.0006996602923931,0.0783717805208354,0.0033200901747759,0.0703112915128844,0.0018278788621042,0.163086616875184,0.0025596674171953
RMSE,240,2,0.0631841145282409,0.0006688207018209,0.0622883298293928,0.0006809940564784,0.056245405126933,0.0009833971720895,0.0597196761158505,0.002331516948245,0.0537508593028909,0.0007415017615102,0.0971814186438414,0.0020862032434576
RMSE,240,3,0.0827276467850964,0.0009106592789381,0.0816042060449768,0.0010476972286085,0.0814703512930746,0.0008288784630114,0.0801026957679558,0.0011767924667861,0.0759456992895138,0.0013589985771625,0.130560920876509,0.0020787646160961
RMSE,240,4,0.0842403463402895,0.0003549055531017,0.0828534372218996,0.0003349422145524,0.0838212562251297,0.0004352195578765,0.0832730297467997,0.0018508941380777,0.0754035146559543,0.0005253721494691,0.127770654786244,0.0009740229490813
Bias,120,1,-0.0013284227984995,0.0006532119189094,-0.0019430586071531,0.0006739692400113,0.0038939924691471,0.0010245570213716,0.0054889523478967,0.0015380737060858,-0.0030560383275208,0.0005845917984928,-0.0006202015913204,0.0014139056636978
Bias,120,2,-0.0024273743863683,0.0003540065994392,-0.0024758955888858,0.0005057243785821,-0.001496500131656,0.0004111297091498,-0.0012842644936511,0.0006640818794994,-0.0024574558551955,0.0005076484765424,-0.0104461280123376,0.0021326940500067
Bias,120,3,-0.0001505495926472,0.0015196991146196,-0.000493201413544,0.0015427796740341,0.0047427027548766,0.0016822328309052,0.0042983909864532,0.0010799162856682,-0.0020500426476768,0.0014758566515635,-0.0021406212977595,0.0010830934799658
Bias,120,4,-0.0046503301299024,0.0004616060351802,-0.0051478035105681,0.0004537824242997,0.0005766397098445,0.0008082023274621,-9.28048420012924e-05,0.0012946161054799,-0.0043220905989493,0.0003546263272227,-0.0145326400986959,0.0018012332306325
Bias,240,1,-0.0005246504175614,0.0005550800975689,-0.0005717590727395,0.0005519295843399,0.0142321942685522,0.0006429390649991,0.014122757583102,0.0010621206734764,-0.002494801957519,0.0004526569934544,-0.0025427919682233,0.0018047271026543
Bias,240,2,-0.0003258088263426,0.00029986514885,-0.0007914820137937,0.0002843674206125,0.0011894087276749,0.0003571690862905,0.0001495948266075,0.0008472256216711,-0.0016015596287335,0.0002828016704298,-0.0055647031089381,0.0012393989846899
Bias,240,3,-0.0021783449876986,0.0004887407173311,-0.0025858378365503,0.0005149968314837,0.0121241847734953,0.0009043368457826,0.012319052112131,0.0010346234130982,-0.004241811910084,0.0004293927005678,-0.0020110367899627,0.001989591058711
Bias,240,4,-0.0051050430989336,0.0002432667945258,-0.0053954370985195,0.0002540128299869,0.0013728779429797,0.0004295361160447,0.000209784968408,0.0007998200370247,-0.0045715454437477,0.0002416273084213,-0.0149888888735142,0.0006212024101186
